count,latitude,longitude,city,region_country,reason
1,52.24835,10.65505,,,Confirmed Contributor
1,41.77149,-88.148,,,Confirmed Contributor
2,43.07393,-89.38524,,,Confirmed Contributor
2,54.17815,-6.33557,,,Confirmed Contributor
1,58.37085,26.71472,,,Confirmed Contributor
3,47.36902,8.53803,,,Confirmed Contributor
1,42.38912,-71.09715,,,Confirmed Contributor
1,51.48239,7.21237,,,Confirmed Contributor
1,53.13672,8.21654,,,Confirmed Contributor
1,43.69582,-79.5521,,,Confirmed Contributor
1,24.9929,121.30097,,,Confirmed Contributor
1,10.18053,76.43345,,,Confirmed Contributor
1,-38.148,144.35934,,,Confirmed Contributor
1,22.47014,70.05771,,,Confirmed Contributor
1,22.26618,114.18208,,,Confirmed Contributor
1,45.51984,1.76458,,,Confirmed Contributor
2,12.88825,77.56082,,,Confirmed Contributor
1,33.98053,-117.37702,,,Confirmed Contributor
1,48.81492,2.34889,,,Confirmed Contributor
1,40.63008,-3.16608,,,Confirmed Contributor
1,43.60395,1.44451,,,Confirmed Contributor
1,50.14702,14.10327,,,Confirmed Contributor
1,55.11144,-116.89938,,,Confirmed Contributor
1,-33.27897,115.71588,,,Confirmed Contributor
1,39.5269,-119.81328,,,Confirmed Contributor
4,52.0119,4.36026,,,Confirmed Contributor
1,37.61372,-122.48571,,,Confirmed Contributor
2,-29.80661,30.58762,,,Confirmed Contributor
1,43.33597,12.90449,,,Confirmed Contributor
1,36.11554,-115.15795,,,Confirmed Contributor
3,40.71305,-74.00723,,,Confirmed Contributor
1,38.10109,-122.25496,,,Confirmed Contributor
1,51.31873,9.49463,,,Confirmed Contributor
1,37.54076,-77.43393,,,Confirmed Contributor
1,43.7185,1.59011,,,Confirmed Contributor
1,40.74372,-73.82203,,,Confirmed Contributor
1,43.32599,-79.7983,,,Confirmed Contributor
1,43.11441,-77.49052,,,Confirmed Contributor
1,37.69855,-122.07396,,,Confirmed Contributor
1,53.38425,9.89136,,,Confirmed Contributor
1,48.31963,25.94148,,,Confirmed Contributor
2,53.54445,-113.49091,,,Confirmed Contributor
1,2.25589,102.30199,,,Confirmed Contributor
3,51.04731,-114.05797,,,Confirmed Contributor
1,38.78186,-77.22996,,,Confirmed Contributor
2,51.05099,13.73363,,,Confirmed Contributor
1,43.54481,-80.24811,,,Confirmed Contributor
1,35.49149,-92.0302,,,Confirmed Contributor
1,43.75984,-79.41121,,,Confirmed Contributor
5,43.46495,-80.52391,,,Confirmed Contributor
1,38.78143,0.05134,,,Confirmed Contributor
1,30.11422,-81.75816,,,Confirmed Contributor
1,48.5374,25.0296,,,Confirmed Contributor
1,39.62181,-77.41152,,,Confirmed Contributor
1,37.88037,-84.57302,,,Confirmed Contributor
2,42.98427,-81.24753,,,Confirmed Contributor
1,37.27556,-76.70902,,,Confirmed Contributor
1,51.11055,17.02556,,,Confirmed Contributor
1,1.53677,103.66139,,,Confirmed Contributor
1,38.68779,-76.62702,,,Confirmed Contributor
1,36.0341,-114.98446,,,Confirmed Contributor
1,52.16109,4.49015,,,Confirmed Contributor
1,50.53778,3.08086,,,Confirmed Contributor
1,36.92399,-121.82691,,,Confirmed Contributor
1,59.91382,10.73874,,,Confirmed Contributor
1,43.61012,-116.39157,,,Confirmed Contributor
1,43.21307,-75.45524,,,Confirmed Contributor
1,41.013,28.9748,,,Confirmed Contributor
1,48.90996,2.2463,,,Confirmed Contributor
1,26.85089,80.48993,,,Confirmed Contributor
1,5.31965,103.1321,,,Confirmed Contributor
3,52.52343,13.41144,,,Confirmed Contributor
1,48.77711,9.18077,,,Confirmed Contributor
1,32.07358,34.78805,,,Confirmed Contributor
1,40.04274,-86.12974,,,Confirmed Contributor
1,42.11025,-71.66858,,,Confirmed Contributor
1,43.06966,-77.29759,,,Confirmed Contributor
1,40.0277,-105.41952,,,Confirmed Contributor
1,50.63129,3.06275,,,Confirmed Contributor
3,37.33479,-121.88814,,,Confirmed Contributor
1,46.20381,6.13997,,,Confirmed Contributor
1,43.96311,-91.25653,,,Confirmed Contributor
1,-34.92727,138.59954,,,Confirmed Contributor
1,51.27726,1.08046,,,Confirmed Contributor
1,49.9376,8.19096,,,Confirmed Contributor
1,46.21185,5.95099,,,Confirmed Contributor
1,51.42769,22.5892,,,Confirmed Contributor
1,38.23247,-122.63685,,,Confirmed Contributor
1,41.14044,-73.35318,,,Confirmed Contributor
1,51.99249,4.20763,,,Confirmed Contributor
1,48.11229,-123.06141,,,Confirmed Contributor
1,41.24369,-82.61274,,,Confirmed Contributor
1,44.97749,-93.26437,,,Confirmed Contributor
1,47.64309,-122.5274,,,Confirmed Contributor
1,65.01265,25.47139,,,Confirmed Contributor
1,34.98715,-80.78568,,,Confirmed Contributor
1,39.01493,-77.52183,,,Confirmed Contributor
1,37.71008,-121.927,,,Confirmed Contributor
1,44.30591,-78.32009,,,Confirmed Contributor
1,40.75935,-74.15177,,,Confirmed Contributor
1,59.30745,24.83783,,,Confirmed Contributor
1,28.4418,76.9325,,,Confirmed Contributor
1,37.39008,-122.08139,,,Confirmed Contributor
1,40.31,-75.13051,,,Confirmed Contributor
1,39.76819,-94.84816,,,Confirmed Contributor
1,40.63478,22.94309,,,Confirmed Contributor
1,51.45504,-0.96909,,,Confirmed Contributor
1,33.60777,-85.82957,,,Confirmed Contributor
1,35.91026,-79.05547,,,Confirmed Contributor
