id,date,forum_site,registrations,posts,users
62E769E1,2020-06-27,community.mattermost.com/core/channels/peer-to-peer-help,2,1,
9F388DD5,2020-06-28,community.mattermost.com/core/channels/peer-to-peer-help,1,4,
CE145B93,2020-06-29,community.mattermost.com/core/channels/peer-to-peer-help,7,2,
B2D08A9E,2020-06-30,community.mattermost.com/core/channels/peer-to-peer-help,1,1,
87FC24DE,2020-07-01,community.mattermost.com/core/channels/peer-to-peer-help,3,2,
152375DD,2020-07-02,community.mattermost.com/core/channels/peer-to-peer-help,3,0,
E868A6B7,2020-07-03,community.mattermost.com/core/channels/peer-to-peer-help,3,0,
226E9CB4,2020-07-04,community.mattermost.com/core/channels/peer-to-peer-help,0,0,
DD00AB3D,2020-07-05,community.mattermost.com/core/channels/peer-to-peer-help,2,0,
B0C5FA32,2020-07-06,community.mattermost.com/core/channels/peer-to-peer-help,1,0,
722BBCB4,2020-07-07,community.mattermost.com/core/channels/peer-to-peer-help,2,0,
15608FEE,2020-07-08,community.mattermost.com/core/channels/peer-to-peer-help,3,7,
5037131F,2020-07-09,community.mattermost.com/core/channels/peer-to-peer-help,2,22,
FB8A2AC2,2020-07-10,community.mattermost.com/core/channels/peer-to-peer-help,1,3,
83CCDE3D,2020-07-11,community.mattermost.com/core/channels/peer-to-peer-help,0,0,
EFF78319,2020-07-12,community.mattermost.com/core/channels/peer-to-peer-help,0,0,
721F7023,2020-07-13,community.mattermost.com/core/channels/peer-to-peer-help,3,6,
F7A3D29F,2020-07-14,community.mattermost.com/core/channels/peer-to-peer-help,3,1,
BF3E0C72,2020-07-15,community.mattermost.com/core/channels/peer-to-peer-help,3,4,
